Text,Cluster
"Yeah, the Jack Carr one was pretty fun.
",3
"He's super nice.
",3
"He seems like a really intriguing dude.
",3
"Yeah.
",1
"So, yeah.
",1
"And he's everywhere now.
",3
"I mean, I see him all over the place.
",3
"Everywhere, yeah.
",1
"Yeah.
",1
"Yeah, really authentic and it's funny because he's very strategic about like his life plan.
",3
"Oh, really?
",3
"Yeah.
",1
"Which is probably more strategic than anyone I've ever met because I asked him like if
",3
"he ever planned on having a famous like Amazon show come out about his book.
",3
"Yeah.
",1
"Yeah.
",1
"It was part of the plan the whole time.
",3
"Seriously?
",3
"Yeah.
",1
"Holy cow.
",3
"You know that?
",4
"We're like, did you ever think you'd find Chris Pratt to play the leading role?
",3
"He's like, yeah, I knew it was going to be him the whole time.
",4
"Holy cow.
",3
"Yeah.
",1
"Wow.
",3
"Is it out yet?
",3
"I haven't seen it.
",3
"I think it's coming out in July.
",3
"I'm looking forward to watching it.
",3
"Yeah.
",1
"It's going to be awesome.
",3
"The books were good.
",3
"So, yeah.
",1
"Yeah.
",1
"Yeah, the detail in them is pretty amazing.
",3
"Absolutely.
",3
"It's just a cool story that I did that.
",3
"How he got into it after a career in NSW.
",3
"Yeah.
",1
"All the like detail he was able to do.
",3
"Well, I'm not surprised now here what you told me about his strategic plan.
",3
"Yeah.
",1
"I wish I was so strategic because it wasn't that at all.
",3
"Yeah.
",1
"Yeah.
",1
"Some of his buddies say like they think he was a seal just so he had all the details
",3
"to write really good books.
",3
"Like he's that detailed that that was part of his plan.
",3
"Yeah.
",1
"To have.
",3
"Sounds like it was.
",3
"Yeah.
",1
"Sounds like it was.
",3
"Pretty wild.
",3
"Yeah.
",1
"That's pretty cool.
",3
"So, let's start with your story.
",3
"What was your childhood like?
",3
"Where'd you come from?
",3
"Where'd you grow up?
",3
"I'm a Montana kid.
",3
"I grew up in Butte, Montana.
",3
"West of Bozeman here.
",3
"You know, came from pretty humble beginnings.
",4
"My dad was a ranch ham when he met my wife.
",3
"He grew up out in the Ruby Valley.
",3
"My family's been out there for five generations.
",3
"Met my mom on a blind date.
",3
"They got married and then he moved to Butte and started working in the mine.
",3
"Was an underground miner initially.
",3
"And worked for them his entire career.
",3
"You know, started out underground and then went to school.
",4
"Ultimately became a chemist and then worked in the laboratory doing assays on all the
",3
"samples from the mine.
",3
"So it started pretty humble beginnings.
",3
"You know, was a typical kid.
",4
"You know, I wasn't, I was, I tell everybody, you know, I didn't start out as an athlete.
",4
"You know, I was a, I had a good life despite our humble beginnings and really found sports,
",4
"things like that later about my freshman year in high school.
",3
"And that really put me on a trajectory to, to ultimately, you know, I think joining the
",4
"Marine Corps, things like that.
",0
"Started martial arts when I was younger.
",3
"Ultimately got into sports and really, really got a lot out of that.
",3
"Graduated from Butte High was a football athlete.
",3
"You know, had a couple of great seasons with the Butte High Bulldogs.
",4
"Although we lost our state championship in the junior and senior year, it was tough,
",3
"but it was still a great experience and really, you know, made high school what it was for me.
",4
"And then got recruited by Coach Green at Montana Tech to walk on to the football team.
",3
"It wasn't good enough to get a scholarship, but he called me in the summer and asked me to
",3
"walk on.
",3
"I'd already planned to go to Montana Tech for college.
",3
"Started out as a computer science major, ultimately ended up switching over to engineering.
",3
"The diggers, huh?
",3
"Yeah, yeah.
",1
"And Coach Green was a big influence.
",3
"You know, he was a, he was a Vietnam Marine, was a radio operator in Vietnam.
",0
"And that plays a part in my story a little bit later.
",3
"But, you know, originally my plan was to never leave Montana.
",4
"I love where I came from.
",3
"Ultimately was going to, you know, get an engineering degree and find a way to stay here
",4
"in Montana working.
",3
"But I'd always, I'd always admired the Marine Corps, always felt the need to serve.
",0
"And honestly, it was a conversation that I had with a friend about halfway through my
",3
"senior year in college.
",3
"You know, I've been talking about the Marine Corps a lot and this friend finally told me,
",0
"you know what, you need to stop talking about it and do something about it.
",4
"Just do it.
",3
"Crazy.
",3
"So I did.
",3
"I called the officer selection officer and told him I was interested in joining the Marine Corps.
",0
"This was pre-911.
",3
"So it was a, it was a long process to get in the Marine Corps at that time.
",0
"I ultimately went on and graduated from Tech.
",3
"Had to make the decision if I was going to, you know, hang around and be waiting for the
",4
"Marine Corps to call or if I'd take a job.
",0
"I'd been offered a job as an engineer in Long Beach, California.
",3
"So chemical engineering degree?
",3
"Environmental engineering.
",3
"Yeah. So took the, took the job while I was waiting on the Marine Corps, moved down to
",0
"Long Beach, California.
",3
"I remember my first flight on an airplane was when I flew down to Long Beach to, for the
",3
"interview.
",3
"First flight ever.
",3
"First flight ever.
",3
"Never been on an airplane prior to that.
",3
"And then moved from Butte, Montana, 30,000 people to Los Angeles County, 11 million people.
",3
"Pretty, pretty big culture shock.
",3
"Yeah.
",1
"It had a desk job.
",3
"I mean, I was working on the 11th floor of a tower in downtown,
",3
"downtown Long Beach, California.
",3
"We're in a suit and tie care in a briefcase.
",3
"You know, all with the promise that if the Marine Corps didn't work out, the company that I
",0
"worked for, you know, told me they'd work to get me back to Alaska or something like that.
",4
"Because they knew that Long Beach wasn't my, wasn't my jam.
",4
"
",3
"Nine months into that, the Marine Corps finally called and said, yep, we'll take you.
",0
"So I called my parents and told them I was quitting my engineering job and going to
",3
"Oxford Canada school.
",3
"They both thought I was crazy.
",3
"Wasn't sure, you know, if I was doing the right thing.
",4
"And my plan was I was going to do four years in the Marine Corps and then come back to Montana,
",0
"get a master's in geological engineering and stay in Montana again.
",3
"That was 27, 28 years ago now.
",3
"So I went in for four years, ultimately I ended up staying for just under 27.
",3
"Was your family like grandfathers in the military?
",3
"I had some great uncles that served in World War II.
",3
"I had an uncle that did a brief stint in the Army, but that was about it.
",3
"It wasn't part of my family history really.
",3
"My dad couldn't serve because he had a physical disability in his arm.
",3
"Something that he told me he always wanted to do, but he couldn't.
",3
"But no, like I said, I remember being like nine years old, just admiring the Marine Corps.
",0
"And then like I said, if you know, that friend finally convinced me that if I didn't do it,
",4
"I'd probably regret it.
",3
"
",3
"You know, so once again, you know, planning one for four years.
",4
"You know, every, every Marine has the same experience.
",0
"You go through Oxford Canada school or another commissioning program like ROTC, something like that.
",3
"Then you'll all officers end up at the basic school, which is a six-month course that every
",3
"officer in the Marine Corps goes through regardless of what their specialty is going to be.
",0
"And it's all about training you to be an infantry platoon commander.
",2
"And it's really that, you know, that experience that I think gives a Marine Corps
",0
"the esprit and camaraderie that we have.
",3
"Everybody has that shared experience on the enlisted side as well with basic training
",3
"and then Marine combat training.
",0
"So got through the basic school, went through the infantry officers course.
",3
"Was in a new military occupational specialty that they just established in the Marine Corps
",0
"called Ground Intel.
",3
"And the idea, it was based on the lessons learned from the Gulf War,
",3
"where they needed their intel officers to have more of an operational focus.
",3
"So we went to the infantry officer course first, then we went to Intel school,
",3
"and then we'd go and we'd serve as a platoon commander in an infantry battalion.
",2
"With the idea that we'd eventually progress into ground reconnaissance and then do
",3
"intel intelligence staff jobs along the way.
",3
"So I went from school to first battalion, first Marines,
",2
"did a couple deployments on naval shipping.
",3
"This was prior to 9-11.
",3
"So we were deploying overseas for presence in a training with partners.
",2
"Did two six-month deployments at sea like that.
",3
"Came back and that was the end of my four years.
",3
"And once again, that plan was I was going to get out, but, you know,
",4
"the Marine Corps offered me an opportunity to go be an instructor.
",0
"What year was this?
",3
"This was 1999.
",3
"Okay.
",3
"Offered me an opportunity to be an instructor.
",3
"I thought that sounds pretty interesting.
",3
"I think I'll give that a shot.
",3
"So I did and about a year into that instructor job in an army school,
",3
"the Marine Corps decided that they were going to stand up their own course,
",0
"ground intelligence officer course.
",3
"And I raised my hand and said, I'll do that.
",3
"So they picked me.
",3
"I moved to Virginia Beach, Virginia, and, you know,
",4
"spent the next seven months standing up this military occupational specialty course for new
",3
"officers.
",3
"Writing all the curriculum had one other captain that was working with me.
",3
"And then I was a course director for that course for two years.
",3
"And then just like before, you know, thinking about getting out,
",4
"I remember writing in my journal about getting ready to come home in Montana.
",3
"And the Marine Corps offered me another opportunity to go to First Reconnaissance
",0
"Battalion.
",2
"There's no promise that you'll be a company commander, but there's an opportunity.
",2
"Yeah, that sounds great.
",1
"So I just got married.
",3
"And I remember driving across the country from Virginia Beach, Virginia to Camp Pendleton,
",3
"California.
",3
"My new wife, Marianne, asked me, so you think you're ever going to deploy?
",2
"I'm like, well, you know, I'm going to an independent battalion.
",4
"That battalion typically deploys platoons.
",2
"This was pre-911.
",3
